NCESSCH School ID,CT Unemployment Rate,CT Pct Adults with College Degree,CT Pct Childre In Married Couple Family,CT Median Household Income,School ACT average (or equivalent if SAT score),School Pct Free and Reduced Lunch
1.00002E+11,12%,45%,35%,42820,20.43,7%
1.00008E+11,6%,66%,77%,89320,19.50,11%
1.00008E+11,6%,70%,71%,84140,19.55,10%
1.00017E+11,4%,69%,64%,56500,17.74,30%
1.00018E+11,8%,64%,83%,54015,18.25,26%
1.00019E+11,8%,67%,48%,50649,17.03,43%
1.0002E+11,8%,75%,,12825,18.39,34%
1.0002E+11,8%,62%,60%,59861,15.54,37%
1.0002E+11,11%,59%,67%,62078,14.98,35%
1.00023E+11,4%,54%,84%,61031,15.11,36%
1.00027E+11,9%,55%,43%,55347,17.85,17%
1.00068E+11,11%,47%,51%,46644,18.01,30%
1.00068E+11,5%,42%,62%,59500,16.07,45%
1.00079E+11,14%,53%,51%,40625,17.18,39%
1.00081E+11,8%,43%,46%,39428,16.16,47%
1.00108E+11,9%,30%,69%,37917,17.29,35%
1.00124E+11,6%,86%,96%,105708,17.97,30%
1.00124E+11,3%,79%,69%,102383,18.31,28%
1.00124E+11,7%,72%,71%,86429,18.97,17%
1.0013E+11,12%,49%,76%,60000,19.18,15%
1.0013E+11,8%,83%,66%,95065,15.57,45%
1.0013E+11,4%,76%,72%,72469,16.37,42%
1.0013E+11,3%,81%,84%,151750,18.77,30%
1.00153E+11,8%,53%,64%,57929,15.62,53%
1.00162E+11,10%,50%,54%,51103,17.03,28%
1.00185E+11,12%,37%,55%,50739,16.00,45%
1.2E+11,7%,74%,52%,43352,21.03,30%
1.20003E+11,12%,73%,36%,19782,24.04,38%
1.20003E+11,4%,65%,65%,54225,21.69,43%
1.20003E+11,5%,64%,60%,46554,22.67,36%
1.20003E+11,12%,38%,45%,33354,26.72,49%
1.20003E+11,3%,81%,68%,75341,23.35,26%
1.20006E+11,9%,38%,79%,65391,17.49,39%
1.20009E+11,21%,55%,75%,25747,22.62,48%
1.20009E+11,11%,35%,42%,35256,20.37,46%
1.20009E+11,4%,52%,57%,43151,23.16,30%
1.20009E+11,8%,65%,40%,48778,23.28,36%
1.20009E+11,18%,67%,37%,25392,22.74,13%
1.20012E+11,13%,47%,51%,33636,17.98,41%
1.20015E+11,20%,63%,50%,29099,22.03,32%
1.20015E+11,9%,59%,35%,41615,22.86,33%
1.20015E+11,16%,35%,12%,20625,22.64,27%
1.20015E+11,18%,40%,32%,30345,20.01,60%
1.20015E+11,18%,64%,47%,28940,23.06,22%
1.20015E+11,11%,69%,55%,42364,22.55,44%
1.20015E+11,15%,54%,62%,42823,21.54,35%
1.20015E+11,16%,68%,58%,37185,22.35,22%
1.20015E+11,16%,68%,58%,37185,25.84,8%
1.20015E+11,10%,84%,54%,64151,24.55,20%
1.20015E+11,3%,89%,72%,61726,23.82,15%
1.20015E+11,11%,54%,94%,56912,23.52,31%
1.20015E+11,9%,54%,56%,42979,21.54,38%
1.20015E+11,10%,69%,79%,39558,26.23,8%
1.20015E+11,11%,68%,75%,66603,22.96,8%
1.20015E+11,22%,52%,67%,48565,19.30,48%
1.20018E+11,12%,52%,44%,35256,20.57,58%
1.20018E+11,12%,62%,41%,42275,19.08,72%
1.20018E+11,12%,46%,64%,51500,19.32,58%
1.20018E+11,31%,26%,16%,15942,17.69,76%
1.20018E+11,22%,34%,36%,28779,18.88,79%
1.20018E+11,11%,46%,42%,25477,17.27,74%
1.20018E+11,12%,53%,85%,31934,21.30,57%
1.20018E+11,20%,49%,56%,45759,20.05,48%
1.20018E+11,20%,45%,43%,43669,18.47,64%
1.20018E+11,9%,60%,64%,38598,21.52,42%
1.20018E+11,6%,63%,50%,58329,19.05,56%
1.20018E+11,9%,87%,98%,84063,18.83,59%
1.20018E+11,9%,71%,76%,59410,17.25,72%
1.20018E+11,19%,32%,28%,28689,20.18,61%
1.20018E+11,15%,64%,31%,36660,18.05,78%
1.20018E+11,17%,62%,42%,50984,20.49,59%
1.20018E+11,12%,56%,53%,42384,18.20,54%
1.20018E+11,11%,64%,53%,71325,22.25,19%
1.20018E+11,6%,35%,73%,40247,19.96,54%
1.20018E+11,6%,73%,73%,86518,20.93,40%
1.20018E+11,8%,51%,63%,53952,21.32,31%
1.20018E+11,6%,74%,78%,97143,22.96,18%
1.20018E+11,7%,79%,79%,82178,20.86,37%
1.20018E+11,9%,71%,47%,43324,22.72,28%
1.20018E+11,12%,59%,51%,43445,20.84,23%
1.20018E+11,13%,65%,84%,45954,26.55,20%
1.20018E+11,9%,72%,85%,113203,23.06,13%
1.20018E+11,10%,64%,87%,85717,20.30,27%
1.20018E+11,13%,70%,60%,67855,20.42,44%
1.20018E+11,8%,71%,89%,83802,19.81,39%
