STATEFP,GEOID,NAME,CDP02_92E,OBJECTID,NCESID,STATEABBREV
10,1000080,Appoquinimink School District,6340,3617,1000080,DE
10,1000170,Cape Henlopen School District,2995,3618,1000170,DE
10,1000180,Caesar Rodney School District,4510,3619,1000180,DE
10,1000190,Capital School District,4610,3620,1000190,DE
10,1000200,Christina School District,12875,3621,1000200,DE
10,1000230,Colonial School District,7335,3622,1000230,DE
10,1000270,Delmar School District,645,3623,1000270,DE
10,1000680,Indian River School District,6045,3624,1000680,DE
10,1000790,Lake Forest School District,2625,3625,1000790,DE
10,1000810,Laurel School District,1445,3626,1000810,DE
10,1001080,Milford School District,3155,3627,1001080,DE
10,1001240,Brandywine School District,7205,3628,1001240,DE
10,1001300,Red Clay Consolidated School District,10165,3629,1001300,DE
10,1001530,Seaford School District,2295,3630,1001530,DE
10,1001620,Smyrna School District,3815,3631,1001620,DE
10,1001850,Woodbridge School District,1750,3632,1001850,DE
12,1200030,Alachua County School District,16075,3634,1200030,FL
12,1200060,Baker County School District,2820,3635,1200060,FL
12,1200090,Bay County School District,14165,3636,1200090,FL
12,1200120,Bradford County School District,2235,3637,1200120,FL
12,1200150,Brevard County School District,41700,3638,1200150,FL
12,1200180,Broward County School District,157485,3639,1200180,FL
12,1200210,Calhoun County School District,1325,3640,1200210,FL
12,1200240,Charlotte County School District,8790,3641,1200240,FL
12,1200270,Citrus County School District,9045,3642,1200270,FL
12,1200300,Clay County School District,21605,3643,1200300,FL
12,1200330,Collier County School District,24060,3644,1200330,FL
12,1200360,Columbia County School District,5050,3645,1200360,FL
12,1200390,Dade County School District,212225,3646,1200390,FL
12,1200420,DeSoto County School District,3230,3647,1200420,FL
12,1200450,Dixie County School District,1100,3648,1200450,FL
12,1200480,Duval County School District,70730,3649,1200480,FL
12,1200510,Escambia County School District,17690,3650,1200510,FL
12,1200540,Flagler County School District,6915,3651,1200540,FL
12,1200570,Franklin County School District,775,3652,1200570,FL
12,1200600,Gadsden County School District,4000,3653,1200600,FL
12,1200630,Gilchrist County School District,1395,3654,1200630,FL
12,1200660,Glades County School District,805,3655,1200660,FL
12,1200690,Gulf County School District,1160,3656,1200690,FL
12,1200720,Hamilton County School District,1030,3657,1200720,FL
12,1200750,Hardee County School District,2405,3658,1200750,FL
12,1200780,Hendry County School District,4140,3659,1200780,FL
12,1200810,Hernando County School District,13830,3660,1200810,FL
12,1200840,Highlands County School District,6555,3661,1200840,FL
12,1200870,Hillsborough County School District,121715,3662,1200870,FL
12,1200900,Holmes County School District,1765,3663,1200900,FL
12,1200930,Indian River County School District,8205,3664,1200930,FL
12,1200960,Jackson County School District,4155,3665,1200960,FL
12,1200990,Jefferson County School District,1055,3666,1200990,FL
12,1201020,Lafayette County School District,640,3667,1201020,FL
12,1201050,Lake County School District,24450,3668,1201050,FL
12,1201080,Lee County School District,48510,3669,1201080,FL
12,1201110,Leon County School District,20410,3670,1201110,FL
12,1201140,Levy County School District,3080,3671,1201140,FL
12,1201170,Liberty County School District,665,3672,1201170,FL
12,1201200,Madison County School District,1320,3673,1201200,FL
12,1201230,Manatee County School District,25080,3674,1201230,FL
12,1201260,Marion County School District,22370,3675,1201260,FL
12,1201290,Martin County School District,10215,3676,1201290,FL
12,1201320,Monroe County School District,4365,3677,1201320,FL
12,1201350,Nassau County School District,7075,3678,1201350,FL
12,1201380,Okaloosa County School District,17090,3679,1201380,FL
12,1201410,Okeechobee County School District,3165,3680,1201410,FL
12,1201440,Orange County School District,111280,3681,1201440,FL
12,1201470,Osceola County School District,29060,3682,1201470,FL
12,1201500,Palm Beach County School District,105275,3683,1201500,FL
12,1201530,Pasco County School District,40720,3684,1201530,FL
12,1201560,Pinellas County School District,58680,3685,1201560,FL
12,1201590,Polk County School District,52460,3686,1201590,FL
12,1201620,Putnam County School District,5145,3687,1201620,FL
12,1201650,Santa Rosa County School District,16665,3688,1201650,FL
12,1201680,Sarasota County School District,24765,3689,1201680,FL
12,1201710,Seminole County School District,35385,3690,1201710,FL
12,1201740,St. Johns County School District,20830,3691,1201740,FL
12,1201770,St. Lucie County School District,23140,3692,1201770,FL
12,1201800,Sumter County School District,2780,3693,1201800,FL
12,1201830,Suwannee County School District,3530,3694,1201830,FL
